conceptUri,preferredLabel,altLabels
http://data.europa.eu/esco/skill/03bc85d5-78f0-4409-86ed-87dc35345760,évaluer la qualité de l’eau dans des cages,
http://data.europa.eu/esco/skill/037b5e5f-db3c-40cd-864e-5b9b9a3a080d,comprendre le hongrois parlé,
http://data.europa.eu/esco/skill/03a53283-d3ee-41c1-ab3e-eb806616440e,comprendre le gallois parlé,
http://data.europa.eu/esco/skill/04455dce-a796-4a1f-bd07-ad42bdbda180,médecine légale,
http://data.europa.eu/esco/skill/038256f5-7b18-4e6f-8314-2401be1b601b,fournir des soins d’urgence en cas de traumatisme avant l’hospitalisation,
http://data.europa.eu/esco/skill/03500955-88a6-4c3d-a8c0-7594409dcff0,faire fonctionner des équipements spécialisés en urgence,
http://data.europa.eu/esco/skill/04512804-4c83-4e1c-a963-02c58e918240,faire la finition de produits en plastique,
http://data.europa.eu/esco/skill/045f71e6-0699-4169-8a54-9c6b96f3174d,conseiller des personnes,donner des conseils|guider les autres
http://data.europa.eu/esco/skill/0450eaee-1a00-4622-8f4e-5356fce816d2,hygiène en milieu médical,
http://data.europa.eu/esco/skill/0450f6a4-495e-4484-b11f-84e8c12ac5f9,élaborer des recettes de bière,
http://data.europa.eu/esco/skill/0460013b-e73a-4200-8c11-88b3b60a222a,réaliser une reliure spirale manuelle,
http://data.europa.eu/esco/skill/04666ae0-ad33-41b2-8977-7121583799d3,commander des produits orthopédiques,
http://data.europa.eu/esco/skill/047218cf-3974-4148-86f8-31464253aa08,interagir verbalement en bosniaque,s'exprimer oralement en bosnien
http://data.europa.eu/esco/skill/0449bf39-a288-4ecc-823a-3d194be5e932,techniques de prélèvement sanguin,
http://data.europa.eu/esco/skill/0458f6a0-cb54-4ff5-a543-b2c5354e17c0,se tenir au courant de la transformation numérique de procédés industriels,
http://data.europa.eu/esco/skill/04e6f19b-6458-432f-9790-3979831a03bc,enseigner les principes des soins infirmiers,
http://data.europa.eu/esco/skill/04f1b938-d4d4-4cb1-a863-982af76b9d93,SAS language,
http://data.europa.eu/esco/skill/04e84553-2795-4098-b0ad-e7921628b32c,aider les usagers des services sociaux ayant subi des préjudices,
http://data.europa.eu/esco/skill/0516cfc3-eec7-45c6-87d7-d0e11a3364a8,utiliser une machine pour couler du béton,
http://data.europa.eu/esco/skill/0511c6df-d1fb-4606-9c73-4baba77eea79,peser les expéditions,
http://data.europa.eu/esco/skill/048f3205-6b1a-43e0-9f76-8c43562c6140,vérifier la qualité d’un émail,
http://data.europa.eu/esco/skill/04cda8e8-e06b-4c91-bbb5-27414dc1cf14,règlementation relative aux embargos,
http://data.europa.eu/esco/skill/049bc175-3f03-4311-8e5d-bbac9e4c2e6c,couper du matériau en excès,
http://data.europa.eu/esco/skill/050dc15e-a41f-4958-bb2c-3fa46c2182be,souder en milieu hyperbare,
http://data.europa.eu/esco/skill/04880044-9668-45b8-b888-f3d9894bac9f,organiser les soins à domicile pour les patients,
http://data.europa.eu/esco/skill/04b90037-ae21-48dc-9448-f0b3eef05b33,gérer les stocks dans des laboratoires d’analyse alimentaire,
http://data.europa.eu/esco/skill/049115cd-da38-499e-8544-4afdb6a4abee,monachisme,
